"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
182256;2019-01-01;"terça-feira";"04:00:00";"CE";116;136,9;"RUSSAS";"Animais na Pista";"Atropelamento de Animal";"Sem Vítimas";"Amanhecer";"Decrescente";"Vento";"Simples";"Curva";"Não";1;0;0;0;1;0;0;1;-4,766018;-38,056034;"SPRF-CE";"DEL03-CE";"UOP01-DEL03-CE"
182263;2019-01-01;"terça-feira";"05:00:00";"MT";158;599,5;"AGUA BOA";"Defeito Mecânico no Veículo";"Incêndio";"Sem Vítimas";"Amanhecer";"Decrescente";"Garoa/Chuvisco";"Simples";"Reta";"Não";1;0;0;0;1;0;0;1;-14,319;-52,169;"SPRF-MT";"DEL07-MT";"UOP02-DEL07-MT"
182277;2019-01-01;"terça-feira";"10:00:00";"PA";10;34;"DOM ELISEU";"Velocidade Incompatível";"Colisão traseira";NA;"Pleno dia";"Decrescente";"Nublado";"Simples";"Aclive";"Não";7;0;0;0;6;3;0;5;-4,15296734;-47,54608154;"SPRF-PA";"DEL02-PA";"UOP02-DEL02-PA"
182289;2019-01-01;"terça-feira";"08:30:00";"BA";101;13;"RIO REAL";"Ingestão de Álcool";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Declive";"Não";3;0;1;0;1;1;1;3;-11,5896;-37,8761;"SPRF-SE";"DEL02-SE";"UOP03-DEL02-SE"
182307;2019-01-01;"terça-feira";"13:50:00";"BA";116;440;"FEIRA DE SANTANA";"Ingestão de Álcool";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Curva";"Não";3;0;1;1;1;0;2;2;-12,344;-39,087;"SPRF-BA";"DEL02-BA";"UOP01-DEL02-BA"
182316;2019-01-01;"terça-feira";"15:15:00";"RS";101;8;"TORRES";"Falta de Atenção à Condução";"Tombamento";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;0;0;1;3;0;4;-29,360483;-49,807865;"SPRF-RS";"DEL03-RS";"DEL9/3-UOP03/RS"
182334;2019-01-01;"terça-feira";"14:45:00";"SE";101;76,7;"MARUIM";"Falta de Atenção à Condução";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Reta";"Não";5;0;3;0;1;1;3;2;-10,7853;-37,1421;"SPRF-SE";"DEL01-SE";"UOP01-DEL01-SE"
182361;2019-01-01;"terça-feira";"10:00:00";"MG";251;280;"SALINAS";"Ultrapassagem Indevida";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Simples";"Reta";"Não";2;0;1;0;0;1;1;2;-16,12498503;-42,22251892;"SPRF-MG";"DEL11-MG";"UOP02-DEL11-MG"
182362;2019-01-01;"terça-feira";"18:20:00";"PE";101;41;"IGARASSU";"Ingestão de Álcool";"Colisão lateral";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;0;0;2;0;0;2;-7,837;-34,9124;"SPRF-PE";"DEL01-PE";"UOP02-DEL01-PE"
182410;2019-01-01;"terça-feira";"12:00:00";"MG";40;454;"CAETANOPOLIS";"Pista Escorregadia";"Capotamento";"Sem Vítimas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Reta";"Não";1;0;0;0;1;0;0;1;-19,3627;-44,3402;"SPRF-MG";"DEL02-MG";"UOP01-DEL02-MG"
