"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
478885;2022-10-06;"quinta-feira";"06:45:00";"PR";153;456,8;"UNIAO DA VITORIA";"Acessar a via sem observar a presença dos outros veículos";"Colisão traseira";"Com Vítimas Fatais";"Amanhecer";"Crescente";"Garoa/Chuvisco";"Simples";"Reta";"Não";2;1;0;0;1;0;0;2;-26,209551;-51,1178941;"SPRF-PR";"DEL02-PR";"UOP03-DEL02-PR"
478886;2022-10-06;"quinta-feira";"07:40:00";"SC";101;40,2;"JOINVILLE";"Reação tardia ou ineficiente do condutor";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Interseção de Vias;Declive";"Sim";2;0;1;0;1;0;1;2;-26,27176094;-48,89468382;"SPRF-SC";"DEL03-SC";"UOP01-DEL03-SC"
478888;2022-09-30;"sexta-feira";"18:50:00";"SP";116;202;"ARUJA";"Ausência de reação do condutor";"Engavetamento";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Múltipla";"Reta";"Sim";4;0;1;0;3;0;1;3;-23,40809408;-46,33859597;"SPRF-SP";"DEL01-SP";"UOP01-DEL01-SP"
478889;2022-10-06;"quinta-feira";"08:10:00";"MG";40;553;"NOVA LIMA";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Curva";"Sim";2;0;1;0;1;0;1;2;-20,07576395;-43,98313165;"SPRF-MG";"DEL01-MG";"UOP02-DEL01-MG"
478890;2022-10-06;"quinta-feira";"09:20:00";"RJ";101;64,3;"CAMPOS DOS GOYTACAZES";"Transitar no acostamento";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Reta";"Sim";3;0;1;0;1;1;1;3;-21,751732;-41,338976;"SPRF-RJ";"DEL08-RJ";"UOP02-DEL08-RJ"
478894;2022-06-16;"quinta-feira";"18:40:00";"RS";470;181;"VERANOPOLIS";"Animais na Pista";"Atropelamento de Animal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";2;0;2;0;0;0;2;1;-28,97313415;-51,56365161;"SPRF-RS";"DEL06-RS";"UOP02-DEL06-RS"
478898;2022-10-06;"quinta-feira";"09:00:00";"SC";116;247,9;"LAGES";"Desrespeitar a preferência no cruzamento";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Simples";"Reta;Interseção de Vias";"Sim";3;0;2;0;1;0;2;2;-27,81262488;-50,36859817;"SPRF-SC";"DEL05-SC";"UOP02-DEL05-SC"
478900;2022-10-05;"quarta-feira";"11:40:00";"PE";101;68,3;"RECIFE";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Múltipla";"Reta";"Sim";2;0;1;0;1;0;1;2;-8,053847;-34,946129;"SPRF-PE";"DEL01-PE";"UOP01-DEL01-PE"
478902;2022-08-14;"domingo";"10:00:00";"RS";290;378,8;"VILA NOVA DO SUL";"Transitar na contramão";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Curva";"Não";5;0;1;3;1;0;4;2;-30,35465152;-53,94847523;"SPRF-RS";"DEL09-RS";"UOP02-DEL09-RS"
478903;2022-10-06;"quinta-feira";"09:40:00";"DF";20;7;"BRASILIA";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";3;0;0;1;0;2;1;2;-15,662208;-47,799866;"SPRF-DF";"DEL02-DF";"UOP01-DEL02-DF"
478905;2022-10-06;"quinta-feira";"10:00:00";"PB";230;13;"CABEDELO";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";4;0;1;0;3;0;1;3;-7,08081284;-34,8491478;"SPRF-PB";"DEL01-PB";"UOP01-DEL01-PB"
478907;2022-08-12;"sexta-feira";"07:15:00";"GO";40;5;"VALPARAISO DE GOIAS";"Ausência de reação do condutor";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;1;0;0;1;1;2;-16,093134;-47,982236;"SPRF-DF";"DEL01-DF";"UOP01-DEL01-DF"
478908;2022-10-05;"quarta-feira";"16:10:00";"BA";367;54,1;"SANTA CRUZ CABRALIA";"Reação tardia ou ineficiente do condutor";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";7;0;7;0;0;0;7;2;-16,38188445;-39,32763621;"SPRF-BA";"DEL09-BA";"UOP03-DEL09-BA"
478910;2022-09-20;"terça-feira";"22:00:00";"PR";116;142;"MANDIRITUBA";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";3;0;2;0;1;0;2;2;-25,77753727;-49,32453632;"SPRF-PR";"DEL01-PR";"UOP03-DEL01-PR"
478912;2022-10-06;"quinta-feira";"11:00:00";"RS";386;410,8;"TRIUNFO";"Chuva";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Rotatória";"Sim";4;0;4;0;0;0;4;2;-29,80348613;-51,51040792;"SPRF-RS";"DEL01-RS";"UOP01-DEL01-RS"
478914;2022-09-19;"segunda-feira";"18:40:00";"MS";376;63;"GLORIA DE DOURADOS";"Chuva";"Tombamento";"Sem Vítimas";"Plena Noite";"Crescente";"Chuva";"Simples";"Reta;Declive";"Sim";1;0;0;0;0;1;0;1;-22,42595755;-54,23484288;"SPRF-MS";"DEL04-MS";"UOP01-DEL04-MS"
478916;2022-10-06;"quinta-feira";"09:40:00";"PE";232;80,4;"GRAVATA";"Velocidade Incompatível";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Curva";"Sim";3;0;0;0;2;1;0;3;-8,19636881;-35,56954622;"SPRF-PE";"DEL02-PE";"UOP02-DEL02PE"
478917;2022-10-06;"quinta-feira";"08:00:00";"PR";163;22,8;"SANTO ANTONIO DO SUDOESTE";"Chuva";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Simples";"Reta;Aclive";"Não";1;0;1;0;0;0;1;1;-26,1942302;-53,64766821;"SPRF-PR";"DEL02-PR";"UOP02-DEL02-PR"
478919;2022-10-06;"quinta-feira";"14:00:00";"PE";408;71,6;"PAUDALHO";"Entrada inopinada do pedestre";"Atropelamento de Pedestre";"Com Vítimas Fatais";"Pleno dia";"Decrescente";"Nublado";"Dupla";"Reta";"Sim";4;1;1;0;1;1;1;3;-7,881486;-35,182777;"SPRF-PE";"DEL01-PE";"UOP01-DEL01-PE"
478920;2022-10-06;"quinta-feira";"14:29:00";"PE";101;86;"JABOATAO DOS GUARARAPES";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Simples";"Reta";"Sim";2;0;1;0;1;0;1;2;-8,201724;-34,959968;"SPRF-PE";"DEL01-PE";"UOP01-DEL01-PE"
478923;2022-10-06;"quinta-feira";"14:10:00";"BA";101;878;"TEIXEIRA DE FREITAS";"Desrespeitar a preferência no cruzamento";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Interseção de Vias";"Sim";2;0;1;0;1;0;1;2;-17,53831447;-39,7145462;"SPRF-BA";"DEL09-BA";"UOP02-DEL09-BA"
478924;2022-10-06;"quinta-feira";"12:27:00";"MG";381;500,5;"BETIM";"Avarias e/ou desgaste excessivo no pneu";"Colisão com objeto";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Nublado";"Dupla";"Reta;Declive";"Sim";1;1;0;0;0;0;0;1;-20,0064154;-44,21493525;"SPRF-MG";"DEL01-MG";"UOP03-DEL01-MG"
478925;2022-10-06;"quinta-feira";"15:15:00";"MG";459;98;"POUSO ALEGRE";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Rotatória";"Sim";3;0;0;1;2;0;1;2;-22,202055;-45,960964;"SPRF-MG";"DEL16-MG";"UOP01-DEL16-MG"
478926;2022-10-06;"quinta-feira";"12:00:00";"MS";163;129;"NAVIRAI";"Mal súbito do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Garoa/Chuvisco";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-23,04564677;-54,25168086;"SPRF-MS";"DEL09-MS";"UOP01-DEL09-MS"
