"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
260068;2020-01-01;"quarta-feira";"05:40:00";"PA";316;84;"SAO FRANCISCO DO PARA";"Falta de Atenção à Condução";"Saída de leito carroçável";NA;"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";3;0;2;0;0;1;2;2;-1,3101929;-47,74456398;"SPRF-PA";"DEL01-PA";"UOP02-DEL01-PA"
260073;2020-01-01;"quarta-feira";"06:00:00";"MG";262;804;"UBERABA";"Falta de Atenção à Condução";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";4;0;1;0;3;0;1;2;-19,76747537;-47,98725511;"SPRF-MG";"DEL13-MG";"UOP01-DEL13-MG"
260087;2020-01-01;"quarta-feira";"06:00:00";"BA";116;191;"CANUDOS";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta";"Não";2;1;0;0;0;2;0;3;-10,32002103;-39,06425211;"SPRF-BA";"DEL07-BA";"UOP02-DEL07-BA"
260116;2020-01-01;"quarta-feira";"10:08:00";"SP";116;71;"APARECIDA";"Não guardar distância de segurança";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Dupla";"Reta";"Sim";3;0;2;0;1;0;2;2;-22,85651665;-45,23114328;"SPRF-SP";"DEL08-SP";"UOP01-DEL08-SP"
260129;2020-01-01;"quarta-feira";"12:10:00";"MG";262;380,9;"JUATUBA";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Curva";"Não";2;0;1;0;0;1;1;2;-19,947864;-44,381226;"SPRF-MG";"DEL01-MG";"UOP03-DEL01-MG"
260147;2020-01-01;"quarta-feira";"14:15:00";"PR";116;32,1;"CAMPINA GRANDE DO SUL";"Velocidade Incompatível";"Colisão com objeto estático";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Aclive;Curva";"Sim";2;0;0;0;1;1;0;2;-25,10497579;-48,83973903;"SPRF-PR";"DEL01-PR";"UOP02-DEL01-PR"
260161;2020-01-01;"quarta-feira";"14:25:00";"MT";364;59,8;"ALTO GARCAS";"Defeito Mecânico no Veículo";"Incêndio";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Curva";"Sim";2;0;0;0;1;2;0;3;-16,93422161;-53,54225988;"SPRF-MT";"DEL02-MT";"UOP02-DEL02-MT"
260165;2020-01-01;"quarta-feira";"14:50:00";"MT";163;605,5;"NOVA MUTUM";"Falta de Atenção à Condução";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Ponte;Reta;Declive";"Não";5;0;3;1;0;1;4;2;-13,75817491;-56,0531795;"SPRF-MT";"DEL01-MT";"UOP01-DEL01-MT"
260173;2020-01-01;"quarta-feira";"16:10:00";"SC";282;388,9;"JOACABA";"Falta de Atenção à Condução";"Colisão com objeto estático";"Sem Vítimas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Curva";"Não";1;0;0;0;1;0;0;1;-27,179003;-51,531616;"SPRF-SC";"DEL07-SC";"UOP05-DEL07-SC"
260202;2020-01-01;"quarta-feira";"15:55:00";"MG";0;0;"SABARA";"Defeito Mecânico no Veículo";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Não Informado";"Céu Claro";"Simples";"Curva";"Sim";2;0;1;0;0;1;1;2;-19,78607788;-43,71630549;"SPRF-MG";"DEL01-MG";"UOP01-DEL01-MG"
260221;2020-01-01;"quarta-feira";"19:30:00";"PR";277;49;"MORRETES";"Falta de Atenção à Condução";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Chuva";"Dupla";"Reta";"Não";4;0;2;0;2;0;2;2;-25,59108;-48,89463;"SPRF-PR";"DEL01-PR";"UOP07-DEL01-PR"
260225;2020-01-01;"quarta-feira";"19:20:00";"MG";381;667,5;"PERDOES";"Falta de Atenção à Condução";"Colisão traseira";"Sem Vítimas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Reta";"Não";2;0;0;0;1;1;0;2;-21,05312771;-45,01951404;"SPRF-MG";"DEL04-MG";"UOP02-DEL04-MG"
260229;2020-01-01;"quarta-feira";"18:00:00";"MG";262;548;"LUZ";"Velocidade Incompatível";"Tombamento";"Com Vítimas Fatais";"Anoitecer";"Decrescente";"Céu Claro";"Simples";"Curva";"Não";3;1;1;0;0;1;1;3;-19,73163489;-45,8631039;"SPRF-MG";"DEL08-MG";"UOP02-DEL08-MG"
260241;2020-01-01;"quarta-feira";"18:10:00";"PR";376;667;"GUARATUBA";"Defeito Mecânico no Veículo";"Saída de leito carroçável";"Sem Vítimas";"Anoitecer";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;0;0;1;1;0;2;-25,86649659;-48,94666822;"SPRF-PR";"DEL01-PR";"UOP04-DEL01-PR"
260264;2020-01-02;"quinta-feira";"03:10:00";"SP";116;407,1;"JUQUIA";"Condutor Dormindo";"Colisão com objeto estático";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Chuva";"Dupla";"Ponte";"Não";1;0;0;1;0;0;1;1;-24,32689195;-47,56569901;"SPRF-SP";"DEL05-SP";"UOP01-DEL05-SP"
260265;2020-01-02;"quinta-feira";"02:00:00";"SC";101;363;"SANGAO";"Velocidade Incompatível";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Chuva";"Dupla";"Viaduto;Declive;Reta";"Não";6;0;2;0;3;1;2;5;-28,67634681;-49,12963202;"SPRF-SC";"DEL02-SC";"UOP01-DEL02-SC"
260268;2020-01-02;"quinta-feira";"04:15:00";"SC";280;111;"SAO BENTO DO SUL";"Velocidade Incompatível";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Rotatória;Declive;Curva";"Sim";3;0;2;0;0;2;2;3;-26,31295828;-49,38837778;"SPRF-SC";"DEL06-SC";"UOP03-DEL06-SC"
260277;2020-01-02;"quinta-feira";"07:00:00";"SP";153;287,9;"OCAUCU";"Condutor Dormindo";"Colisão frontal";"Com Vítimas Fatais";"Pleno dia";"Decrescente";"Nublado";"Simples";"Aclive";"Não";4;1;1;0;1;2;1;4;-22,47307976;-49,88805771;"SPRF-SP";"DEL07-SP";"UOP02-DEL07-SP"
260278;2020-01-02;"quinta-feira";"05:30:00";"MT";364;11,3;"ALTO ARAGUAIA";"Falta de Atenção à Condução";"Tombamento";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Declive;Curva";"Não";3;0;0;0;2;2;0;4;-17,26808961;-53,29705668;"SPRF-MT";"DEL02-MT";"UOP02-DEL02-MT"
260281;2020-01-02;"quinta-feira";"06:10:00";"CE";116;4;"FORTALEZA";"Defeito Mecânico no Veículo";"Danos eventuais";"Sem Vítimas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Reta";"Sim";1;0;0;0;1;0;0;1;-3,7867209;-38,5114568;"SPRF-CE";"DEL01-CE";"UOP02-DEL01-CE"
260292;2020-01-02;"quinta-feira";"06:15:00";"MG";251;492,5;"FRANCISCO SA";"Falta de Atenção à Condução";"Colisão lateral";"Com Vítimas Feridas";"Amanhecer";"Crescente";"Garoa/Chuvisco";"Simples";"Declive";"Não";8;0;3;0;4;2;3;8;-16,54433804;-43,59543496;"SPRF-MG";"DEL12-MG";"UOP01-DEL12-MG"
260293;2020-01-02;"quinta-feira";"08:50:00";"PR";373;172,5;"PONTA GROSSA";"Desobediência às normas de trânsito pelo condutor";"Colisão com objeto estático";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";4;0;0;1;2;1;1;4;-25,08139932;-50,19200981;"SPRF-PR";"DEL03-PR";"UOP01-DEL03-PR"
260302;2020-01-02;"quinta-feira";"05:40:00";"MA";135;292;"DOM PEDRO";"Falta de Atenção à Condução";"Colisão frontal";"Com Vítimas Feridas";"Amanhecer";"Decrescente";"Céu Claro";"Simples";"Curva";"Não";2;0;2;0;0;0;2;2;-4,91258731;-44,37054035;"SPRF-MA";"DEL03-MA";"UOP01-DEL03-MA"
260342;2020-01-02;"quinta-feira";"12:35:00";"RS";386;373,7;"TAQUARI";"Condutor Dormindo";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Curva";"Não";2;0;1;0;1;0;1;2;-29,610334;-51,804359;"SPRF-RS";"DEL04-RS";"UOP02-DEL04-RS"
260349;2020-01-02;"quinta-feira";"13:15:00";"AL";101;89;"RIO LARGO";"Defeito Mecânico no Veículo";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Dupla";"Curva";"Não";1;0;0;1;0;0;1;1;-9,49037062;-35,89829517;"SPRF-AL";"DEL01-AL";"UOP01-DEL01-AL"
260356;2020-01-02;"quinta-feira";"13:00:00";"PB";230;132;"CAMPINA GRANDE";"Condutor Dormindo";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;1;0;1;0;1;2;-7,2774;-35,7367;"SPRF-PB";"DEL02-PB";"UOP01-DEL02-PB"
