"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
100027;2018-01-01;"segunda-feira";"06:00:00";"TO";153;393,1;"RIO DOS BOIS";"Falta de Atenção à Condução";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Aclive";"Não";2;0;0;1;1;0;1;2;-9,35641407;-48,54610294;"SPRF-TO";"DEL02-TO";"UOP02-DEL02-TO"
100044;2018-01-01;"segunda-feira";"08:30:00";"SE";101;123,4;"ITAPORANGA DAJUDA";"Não guardar distância de segurança";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;0;0;2;0;0;2;-11,04476007;-37,36498;"SPRF-SE";"DEL02-SE";"UOP01-DEL02-SE"
100046;2018-01-01;"segunda-feira";"08:50:00";"TO";153;347;"GUARAI";"Falta de Atenção à Condução";"Colisão lateral";NA;"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta;Interseção de Vias";"Não";3;0;0;0;2;1;0;3;-8,952295;-48,500107;"SPRF-TO";"DEL02-TO";"UOP02-DEL02-TO"
100052;2018-01-01;"segunda-feira";"05:30:00";"PA";155;221;"ELDORADO DO CARAJAS";"Ingestão de Álcool";"Colisão lateral";"Com Vítimas Fatais";"Amanhecer";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;1;0;0;1;0;0;2;-6,345512;-49,389626;"SPRF-PA";"DEL03-PA";"UOP01-DEL03-PA"
100053;2018-01-01;"segunda-feira";"10:25:00";"BA";116;289,6;"TUCANO";"Ultrapassagem Indevida";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Reta";"Não";2;0;0;1;0;1;1;2;-11,08661652;-38,83420181;"SPRF-BA";"DEL02-BA";"DEL10/2-UOP02/BA"
100057;2018-01-01;"segunda-feira";"11:40:00";"MG";116;260,7;"TEOFILO OTONI";"Defeito Mecânico no Veículo";"Tombamento";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;0;0;1;2;0;3;-17,75229688;-41,50318326;"SPRF-MG";"DEL11-MG";"UOP01-DEL11-MG"
100072;2018-01-01;"segunda-feira";"11:30:00";"MT";364;332;"SANTO ANTONIO DO LEVERGER";"Falta de Atenção à Condução";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";3;0;1;0;1;2;1;4;-15,82443;-55,426796;"SPRF-MT";"DEL02-MT";"UOP02-DEL01-MT"
100094;2018-01-01;"segunda-feira";"15:10:00";"PE";232;62;"POMBOS";"Falta de Atenção à Condução";"Colisão transversal";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";3;0;0;0;1;3;0;4;-8,16017678;-35,42146683;"SPRF-PE";"DEL01-PE";"UOP02-DEL02PE"
100132;2018-01-01;"segunda-feira";"18:22:00";"RJ";116;235;"PIRAI";"Defeito Mecânico no Veículo";"Tombamento";"Sem Vítimas";"Plena Noite";"Crescente";"Chuva";"Dupla";"Curva";"Não";5;0;0;0;4;2;0;6;-22,64379877;-43,89707565;"SPRF-RJ";"DEL07-RJ";"UOP01-DEL07-RJ"
100171;2018-01-01;"segunda-feira";"20:30:00";"MG";381;613;"OLIVEIRA";"Avarias e/ou desgaste excessivo no pneu";"Incêndio";"Sem Vítimas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Reta";"Não";2;0;0;0;1;1;0;2;-20,69614372;-44,74820957;"SPRF-MG";"DEL04-MG";"UOP01-DEL04-MG"
100175;2018-01-01;"segunda-feira";"20:35:00";"MG";381;905,7;"CAMBUI";"Condutor Dormindo";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Dupla";"Declive;Reta";"Não";20;0;3;0;16;1;3;3;-22,66296734;-46,09028578;"SPRF-MG";"DEL16-MG";"UOP03-DEL16-MG"
100176;2018-01-01;"segunda-feira";"21:00:00";"RJ";40;110;"DUQUE DE CAXIAS";"Falta de Atenção à Condução";"Colisão lateral";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";3;0;1;1;0;1;2;2;-22,67890612;-43,28630447;"SPRF-RJ";"DEL01-RJ";"UOP01-DEL01-RJ"
100182;2018-01-01;"segunda-feira";"19:30:00";"SC";282;424;"VARGEM BONITA";"Velocidade Incompatível";"Colisão lateral";"Sem Vítimas";"Anoitecer";"Crescente";"Chuva";"Simples";"Curva";"Não";5;0;0;0;4;2;0;4;-26,98444677;-51,75464988;"SPRF-SC";"DEL07-SC";"UOP05-DEL07-SC"
100198;2018-01-01;"segunda-feira";"23:10:00";"MG";40;65,1;"PARACATU";"Fenômenos da Natureza";"Colisão com objeto estático";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Garoa/Chuvisco";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;-17,36138875;-46,74664889;"SPRF-MG";"DEL14-MG";"UOP01-DEL14-MG"
100203;2018-01-01;"segunda-feira";"21:25:00";"MT";70;530;"VARZEA GRANDE";"Falta de Atenção à Condução";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Simples";"Reta";"Não";5;0;1;1;2;1;2;3;-15,6478;-56,1332;"SPRF-MT";"DEL01-MT";"DEL2/4-UOP02/MT"
100206;2018-01-01;"segunda-feira";"19:00:00";"MA";316;300,9;"PIO XII";"Fenômenos da Natureza";"Tombamento";"Sem Vítimas";"Anoitecer";"Crescente";"Chuva";"Simples";"Reta";"Não";2;0;0;0;1;2;0;3;-3,91185609;-45,15602118;"SPRF-MA";"DEL02-MA";"UI04-DEL02-MA"
100207;2018-01-02;"terça-feira";"00:00:00";"GO";153;652,5;"GOIATUBA";"Condutor Dormindo";"Saída de leito carroçável";"Sem Vítimas";"Plena Noite";"Decrescente";"Nublado";"Dupla";"Reta";"Não";2;0;0;0;1;1;0;2;-17,97975258;-49,2567507;"SPRF-GO";"DEL03-GO";"UOP01-DEL03-GO"
100217;2018-01-02;"terça-feira";"02:10:00";"ES";101;245,8;"SERRA";"Defeito Mecânico no Veículo";"Colisão lateral";"Sem Vítimas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Declive";"Sim";2;0;0;0;2;0;0;2;-20,05957954;-40,37809253;"SPRF-ES";"DEL02-ES";"UOP01-DEL02-ES"
100218;2018-01-02;"terça-feira";"01:35:00";"MG";381;357;"JOAO MONLEVADE";"Carga excessiva e/ou mal acondicionada";"Derramamento de carga";"Sem Vítimas";"Plena Noite";"Crescente";"Nublado";"Simples";"Curva";"Sim";1;0;0;0;1;0;0;1;-19,84183026;-43,17485601;"SPRF-MG";"DEL03-MG";"UOP01-DEL03-MG"
100224;2018-01-02;"terça-feira";"04:10:00";"SC";101;176;"BIGUACU";"Falta de Atenção à Condução";"Colisão traseira";"Sem Vítimas";"Plena Noite";"Crescente";"Nublado";"Dupla";"Reta";"Não";2;0;0;0;2;0;0;2;-27,3382344;-48,62709576;"SPRF-SC";"DEL01-SC";"UOP01-DEL01-SC"
100227;2018-01-02;"terça-feira";"04:00:00";"GO";153;54,3;"PORANGATU";"Avarias e/ou desgaste excessivo no pneu";"Incêndio";"Sem Vítimas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";3;0;0;0;2;1;0;2;-13,18005143;-49,16806698;"SPRF-GO";"DEL07-GO";"UOP01-DEL07-GO"
100232;2018-01-02;"terça-feira";"05:30:00";"MG";40;426,7;"PARAOPEBA";"Condutor Dormindo";"Colisão traseira";"Com Vítimas Feridas";"Amanhecer";"Crescente";"Garoa/Chuvisco";"Dupla";"Reta";"Não";2;0;0;1;1;0;1;2;-19,17267293;-44,50996647;"SPRF-MG";"DEL02-MG";"UOP01-DEL02-MG"
100239;2018-01-02;"terça-feira";"07:10:00";"GO";153;494;"GOIANIA";"Não guardar distância de segurança";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Declive";"Sim";2;0;0;0;2;0;0;2;-16,6537;-49,2172;"SPRF-GO";"DEL01-GO";"UOP01-DEL01-GO"
100246;2018-01-02;"terça-feira";"04:00:00";"SE";101;146;"ESTANCIA";"Animais na Pista";"Atropelamento de Animal";"Sem Vítimas";"Amanhecer";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";1;0;0;0;1;0;0;1;-11,233;-37,4273;"SPRF-SE";"DEL02-SE";"UOP01-DEL02-SE"
100248;2018-01-02;"terça-feira";"07:00:00";"RJ";116;311;"ITATIAIA";"Falta de Atenção à Condução";"Derramamento de carga";"Sem Vítimas";"Pleno dia";"Crescente";"Sol";"Dupla";"Retorno Regulamentado";"Sim";2;0;0;0;1;3;0;4;-22,460867;-44,442963;"SPRF-RJ";"DEL07-RJ";"DEL5/7-UOP03/RJ"
100249;2018-01-02;"terça-feira";"06:50:00";"SP";381;84;"SAO PAULO";"Falta de Atenção à Condução";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";3;0;0;0;2;2;0;4;-23,5489;-46,6388;"SPRF-SP";"DEL03-SP";"DEL6/3-UOP03/SP"
100250;2018-01-02;"terça-feira";"06:50:00";"AL";423;18,1;"CANAPI";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Declive";"Não";2;0;2;0;0;0;2;1;-9,171582;-37,447206;"SPRF-AL";"DEL03-AL";"UOP02-DEL03-AL"
100264;2018-01-01;"segunda-feira";"16:00:00";"MG";459;74,7;"SENADOR JOSE BENTO";"Velocidade Incompatível";"Tombamento";"Sem Vítimas";"Pleno dia";"Crescente";"Ignorado";"Simples";"Curva";"Não";2;0;0;0;0;2;0;2;-22,1409558;-46,14168883;"SPRF-MG";"DEL09-MG";"UOP01-DEL09-MG"
100265;2018-01-02;"terça-feira";"07:10:00";"PR";376;599,9;"CURITIBA";"Falta de Atenção à Condução";"Colisão lateral";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Aclive";"Não";3;0;0;0;2;1;0;3;-25,53187854;-49,32285547;"SPRF-PR";"DEL01-PR";"UOP06-DEL01-PR"
100268;2018-01-02;"terça-feira";"08:25:00";"SC";101;35,6;"JOINVILLE";"Falta de Atenção do Pedestre";"Atropelamento de Pedestre";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Dupla";"Curva";"Sim";3;0;0;1;1;1;1;3;-26,27118935;-48,89488041;"SPRF-SC";"DEL03-SC";"UOP01-DEL03-SC"
100273;2018-01-02;"terça-feira";"08:15:00";"MG";251;450,4;"GRAO MOGOL";"Velocidade Incompatível";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Curva;Declive";"Não";3;0;1;1;0;1;2;2;-16,42869894;-43,28270049;"SPRF-MG";"DEL12-MG";"UOP01-DEL12-MG"
